test_id,test_name,total_frames,face_detected_frames,detection_rate_percent,landmark_success_rate_percent,average_fps,average_face_width_px,average_face_height_px,average_face_area_percent,average_yaw_deg,average_pitch_deg,average_roll_deg
1,FRONT,91,55,60.44,60.44,8.9,263.98,300.16,8.64,0,0,0
8,NEAR_CAMERA,7,7,100.0,100.0,10.05,278.0,321.71,9.7,0,0,0
8,NEAR_CAMERA,401,229,57.11,57.11,10.02,165.9,187.69,3.69,0,0,0
8,NEAR_CAMERA,415,243,58.55,58.55,10.02,164.29,186.11,3.61,0,0,0
8,NEAR_CAMERA,919,399,43.42,43.42,10.02,150.02,169.22,2.98,0,0,0
9,FAR_CAMERA,3,0,0.0,0.0,9.94,0,0,0,0,0,0
9,FAR_CAMERA,333,0,0.0,0.0,10.01,0,0,0,0,0,0
9,FAR_CAMERA,343,0,0.0,0.0,10.02,0,0,0,0,0,0
9,FAR_CAMERA,372,0,0.0,0.0,10.02,0,0,0,0,0,0
9,FAR_CAMERA,375,0,0.0,0.0,10.02,0,0,0,0,0,0
9,FAR_CAMERA,622,0,0.0,0.0,10.02,0,0,0,0,0,0
8,NEAR_CAMERA,923,399,43.23,43.23,10.02,150.02,169.22,2.98,0,0,0
8,NEAR_CAMERA,1211,529,43.68,43.68,10.0,168.9,190.65,3.84,0,0,0
8,NEAR_CAMERA,1215,533,43.87,43.87,10.0,169.65,191.57,3.88,0,0,0
8,NEAR_CAMERA,1260,578,45.87,45.87,10.0,177.72,201.17,4.3,0,0,0
